hour,resource,ram_gi,ram_gi_ai_unit_hours,cpu,cpu_ai_unit_hours,gpu,gpu_ai_unit_hours,ai_units
2024-10-23 17:00:00+00:00,steam,11.1758708953857422,0.17462298274040222188,6.0000000000000000,0.75000000000000000000,0,0,0.75000000000000000000
2024-10-23 18:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 18:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 18:00:00+00:00,steam,11.1758708953857422,0.17462298274040222188,6.0000000000000000,0.75000000000000000000,0,0,0.75000000000000000000
2024-10-23 19:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 19:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 19:00:00+00:00,steam,11.1758708953857422,0.17462298274040222188,6.0000000000000000,0.75000000000000000000,0,0,0.75000000000000000000
2024-10-23 20:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 20:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 20:00:00+00:00,steam,11.1758708953857422,0.17462298274040222188,6.0000000000000000,0.75000000000000000000,0,0,0.75000000000000000000
2024-10-23 21:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 21:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 21:00:00+00:00,steam,11.1758708953857422,0.17462298274040222188,6.0000000000000000,0.75000000000000000000,0,0,0.75000000000000000000
2024-10-23 22:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 22:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 22:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 23:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 23:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-23 23:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 00:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 00:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 00:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 01:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 01:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 01:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 02:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 02:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 02:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 03:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 03:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 03:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
