stream,user_name,label,ts
ai/h2o/cloud/appstore/app/event/created,test,"{'appEvent': {'created': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'runtime': {'module': 'src.app', 'resources': {}, 'oidcEnabled': True, 'runtimeVersion': 'deb11_py38_wlatest'}}}}",2023-08-27 06:53:39.316037+00:00
ai/h2o/cloud/appstore/app/event/created,test,"{'appEvent': {'created': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'runtime': {'module': 'src.label_genie', 'resources': {'storageBytes': '214748364800', 'memoryLimitBytes': '25769803776', 'memoryReservationBytes': '17179869184'}, 'volumeMount': '/data', 'runtimeVersion': 'deb11_py38_wlatest', 'volumeSizeBytes': '214748364800'}}}}",2023-09-15 11:46:56.380228+00:00
ai/h2o/cloud/appstore/app/event/created,test,"{'appEvent': {'created': {'app': {'id': '8457a133-601b-48ef-b5da-c7f9e5b12877', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.7.0', 'createdAt': '2023-10-20T09:46:05.529347Z', 'ownerName': 'test', 'updatedAt': '2023-10-20T09:46:05.529347Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'runtime': {'module': 'src.app', 'resources': {}, 'oidcEnabled': True, 'runtimeVersion': 'deb11_py38_wlatest'}}}}",2023-10-20 09:46:05.579881+00:00
